date,open,high,low,close,adjclose,volume
1/8/2020,74.29000092,76.11000061,74.29000092,75.79750061,74.2571106,132079200
1/9/2020,76.80999756,77.60749817,76.55000305,77.40750122,75.83438873,170108400
1/10/2020,77.65000153,78.16750336,77.0625,77.58249664,76.00583649,140644800
1/13/2020,77.91000366,79.26750183,77.78749847,79.23999786,77.62965393,121532000
1/14/2020,79.17500305,79.39250183,78.04250336,78.16999817,76.58138275,161954400
1/15/2020,77.96250153,78.875,77.38749695,77.83499908,76.25319672,121923600
1/16/2020,78.39749908,78.92500305,78.02249908,78.80999756,77.20837402,108829200
1/17/2020,79.06749725,79.68499756,78.75,79.68250275,78.06316376,137816400
1/21/2020,79.29750061,79.75499725,79,79.14250183,77.53414154,110843200
1/22/2020,79.64499664,79.99749756,79.32749939,79.42500305,77.8108902,101832400
1/23/2020,79.48000336,79.88999939,78.91249847,79.80750275,78.18562317,104472000
1/24/2020,80.0625,80.83249664,79.37999725,79.57749939,77.960289,146537600
1/27/2020,77.51499939,77.94249725,76.22000122,77.23750305,75.66784668,161940000
1/28/2020,78.15000153,79.59999847,78.04750061,79.42250061,77.8084259,162234000
1/29/2020,81.11250305,81.96250153,80.34500122,81.08499908,79.43715668,216229200
1/30/2020,80.13500214,81.02249908,79.6875,80.96749878,79.32203674,126743200
1/31/2020,80.23249817,80.66999817,77.07250214,77.37750244,75.80500031,199588400
2/3/2020,76.07499695,78.37249756,75.55500031,77.16500092,75.59680939,173788400
2/4/2020,78.82749939,79.91000366,78.40750122,79.71250153,78.09253693,136616400
2/5/2020,80.87999725,81.19000244,79.73750305,80.36250305,78.72933197,118826800
2/6/2020,80.64250183,81.30500031,80.06500244,81.30249786,79.65023041,105425600
2/7/2020,80.59249878,80.84999847,79.5,80.00749969,78.56755829,117684000
2/10/2020,78.54499817,80.38749695,78.46250153,80.38749695,78.9407196,109348800
2/11/2020,80.90000153,80.97499847,79.67749786,79.90249634,78.46446228,94323200
2/12/2020,80.36750031,81.80500031,80.36750031,81.80000305,80.32781982,113730400
2/13/2020,81.04750061,81.55500031,80.83750153,81.21749878,79.75579071,94747600
2/14/2020,81.18499756,81.49500275,80.71250153,81.23750305,79.77542877,80113600
2/18/2020,78.83999634,79.9375,78.65249634,79.75,78.31469727,152531200
2/19/2020,80,81.14250183,80,80.90499878,79.4489212,93984000
2/20/2020,80.65750122,81.16249847,79.55249786,80.07499695,78.6338501,100566000
2/21/2020,79.65499878,80.11250305,77.625,78.26249695,76.85398102,129554000
2/24/2020,74.31500244,76.04499817,72.30750275,74.54499817,73.20337677,222195200
2/25/2020,75.23750305,75.63249969,71.53250122,72.01999664,70.72381592,230673600
2/26/2020,71.63249969,74.47000122,71.625,73.16249847,71.84576416,198054800
2/27/2020,70.27500153,71.5,68.23999786,68.37999725,67.14933777,320605600
2/28/2020,64.31500244,69.60250092,64.09249878,68.33999634,67.11004639,426510000
3/2/2020,70.56999969,75.36000061,69.43000031,74.70249939,73.35804749,341397200
3/3/2020,75.91750336,76,71.44999695,72.33000183,71.02825165,319475600
3/4/2020,74.11000061,75.84999847,73.28250122,75.68499756,74.32286835,219178400
3/5/2020,73.87999725,74.88749695,72.85250092,73.23000336,71.91205597,187572800
3/6/2020,70.5,72.70500183,70.30750275,72.25749969,70.95704651,226176800
3/9/2020,65.9375,69.52249908,65.75,66.54250336,65.34490967,286744800
3/10/2020,69.28500366,71.61000061,67.34249878,71.33499908,70.05115509,285290000
3/11/2020,69.34750366,70.30500031,67.96499634,68.85749817,67.61824799,255598800
3/12/2020,63.98500061,67.5,62,62.05749893,60.94062424,418474000
3/13/2020,66.22250366,69.98000336,63.23749924,69.49250031,68.24180603,370732000
3/16/2020,60.48749924,64.76999664,60,60.55250168,59.46271133,322423600
3/17/2020,61.87749863,64.40249634,59.59999847,63.21500015,62.07729721,324056000
3/18/2020,59.94250107,62.5,59.27999878,61.66749954,60.55764771,300233600
3/19/2020,61.84749985,63.20999908,60.65250015,61.19499969,60.093647,271857200
3/20/2020,61.79499817,62.95750046,57,57.31000137,56.27856445,401693200
3/23/2020,57.02000046,57.125,53.15250015,56.09249878,55.08297729,336752800
3/24/2020,59.09000015,61.92250061,58.57500076,61.72000122,60.60920715,287531200
3/25/2020,62.6875,64.5625,61.07500076,61.38000107,60.27532196,303602000
3/26/2020,61.63000107,64.66999817,61.59000015,64.61000061,63.4471817,252087200
3/27/2020,63.1875,63.96749878,61.76250076,61.93500137,60.82033157,204216800
3/30/2020,62.68500137,63.88000107,62.34999847,63.70249939,62.55601883,167976400
3/31/2020,63.90000153,65.62249756,63,63.57249832,62.42835999,197002000
4/1/2020,61.625,62.18000031,59.78250122,60.22750092,59.1435585,176218400
4/2/2020,60.08499908,61.28749847,59.22499847,61.23249817,60.13047028,165934000
4/3/2020,60.70000076,61.42499924,59.74250031,60.35250092,59.26631546,129880000
4/6/2020,62.72499847,65.77749634,62.34500122,65.61750031,64.43656158,201820400
4/7/2020,67.69999695,67.92500305,64.75,64.85749817,63.69022369,202887200
